ProteinID,Compartments,Cyto,Nsol,NucI,Horg,Lorg,Colour,ProteinsName_Subcell,Entry Name,Protein names,Gene Names,GeneID,Ensembl,Gene Ontology (molecular function),Gene Ontology (biological process),Gene Ontology (cellular component)
Q96Q07,S3,0.061394784,-0.572522927,-0.019917101,0.347078315,0.800426322,salmon,BTBD9,BTBD9_HUMAN,BTB/POZ domain-containing protein 9,BTBD9 KIAA1880,114781;,"ENST00000314100.10; ENSP00000323408.6; ENSG00000183826.19. [Q96Q07-3];""ENST00000419706.6; ENSP00000415365.2; ENSG00000183826.19. [Q96Q07-2]"";""ENST00000481247.6; ENSP00000418751.1; ENSG00000183826.19. [Q96Q07-1]"";""ENST00000649492.1; ENSP00000497066.1; ENSG00000183826.19. [Q96Q07-1]"";",0,"adult locomotory behavior [GO:0008344]; circadian behavior [GO:0048512]; circadian sleep/wake cycle, non-REM sleep [GO:0042748]; long-term memory [GO:0007616]; modulation of chemical synaptic transmission [GO:0050804]; multicellular organismal-level iron ion homeostasis [GO:0060586]; regulation of synaptic vesicle endocytosis [GO:1900242]; sensory perception of temperature stimulus [GO:0050951]; serotonin metabolic process [GO:0042428]",cytoplasm [GO:0005737]; glutamatergic synapse [GO:0098978]
P20290,C5,1.025070337,1.073672724,-0.644129915,-0.783658475,-0.880298613,turquoise3,BTF3,BTF3_HUMAN,Transcription factor BTF3 (Nascent polypeptide-associated complex subunit beta) (NAC-beta) (RNA polymerase B transcription factor 3),BTF3 NACB OK/SW-cl.8,689;,"ENST00000335895.12; ENSP00000338516.8; ENSG00000145741.17. [P20290-2];""ENST00000380591.8; ENSP00000369965.3; ENSG00000145741.17. [P20290-1]"";",RNA binding [GO:0003723],in utero embryonic development [GO:0001701]; negative regulation of protein localization to endoplasmic reticulum [GO:1905551]; protein transport [GO:0015031],cytoplasm [GO:0005737]; cytosol [GO:0005829]; nascent polypeptide-associated complex [GO:0005854]; nucleus [GO:0005634]
Q96K17,C5,1.251230848,0.835707966,-0.674471615,-0.716496163,-1.131402481,turquoise3,BTF3L4,BT3L4_HUMAN,Transcription factor BTF3 homolog 4 (Basic transcription factor 3-like 4),BTF3L4,91408;,"ENST00000313334.13; ENSP00000360664.4; ENSG00000134717.18. [Q96K17-1];""ENST00000472944.6; ENSP00000436712.1; ENSG00000134717.18. [Q96K17-2]"";""ENST00000489308.6; ENSP00000434824.1; ENSG00000134717.18. [Q96K17-3]"";",0,0,0
Q7KYR7,S4,-0.506480445,-0.728840958,0.320055003,0.581176539,0.308954376,tomato2,BTN2A1,BT2A1_HUMAN,Butyrophilin subfamily 2 member A1,BTN2A1 BT2.1 BTF1,11120;,"ENST00000312541.10; ENSP00000312158.5; ENSG00000112763.17. [Q7KYR7-2];""ENST00000429381.5; ENSP00000416945.1; ENSG00000112763.17. [Q7KYR7-4]"";""ENST00000469185.5; ENSP00000419043.1; ENSG00000112763.17. [Q7KYR7-6]"";""ENST00000541522.5; ENSP00000443909.1; ENSG00000112763.17. [Q7KYR7-5]"";""ENST00000709935.1; ENSP00000517949.1; ENSG00000292170.1. [Q7KYR7-2]"";""ENST00000709937.1; ENSP00000517951.1; ENSG00000292170.1. [Q7KYR7-4]"";""ENST00000709938.1; ENSP00000517952.1; ENSG00000292170.1. [Q7KYR7-6]"";""ENST00000709940.1; ENSP00000517954.1; ENSG00000292170.1. [Q7KYR7-5]"";",signaling receptor binding [GO:0005102],lipid metabolic process [GO:0006629]; regulation of cytokine production [GO:0001817]; T cell receptor signaling pathway [GO:0050852],external side of plasma membrane [GO:0009897]; plasma membrane [GO:0005886]
O43683,C2,1.111022478,0.300916148,-0.229558459,-0.191861332,-0.38486003,aquamarine,BUB1,BUB1_HUMAN,Mitotic checkpoint serine/threonine-protein kinase BUB1 (hBUB1) (EC 2.7.11.1) (BUB1A),BUB1 BUB1L,699;,"ENST00000302759.11; ENSP00000302530.6; ENSG00000169679.15. [O43683-1];""ENST00000409311.5; ENSP00000386701.1; ENSG00000169679.15. [O43683-2]"";""ENST00000535254.6; ENSP00000441013.1; ENSG00000169679.15. [O43683-3]"";",ATP binding [GO:0005524]; histone H2A kinase activity [GO:0140995]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674],"apoptotic process [GO:0006915]; cell division [GO:0051301]; chromosome segregation [GO:0007059]; meiotic sister chromatid cohesion, centromeric [GO:0051754]; mitotic spindle assembly checkpoint signaling [GO:0007094]; positive regulation of maintenance of mitotic sister chromatid cohesion, centromeric [GO:2000720]; regulation of chromosome segregation [GO:0051983]; regulation of sister chromatid cohesion [GO:0007063]",cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; kinetochore [GO:0000776]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; outer kinetochore [GO:0000940]
O60566,C3,1.807376771,-0.08854955,-0.673492906,-0.376435222,-0.67831908,cyan,BUB1B,BUB1B_HUMAN,Mitotic checkpoint serine/threonine-protein kinase BUB1 beta (EC 2.7.11.1) (MAD3/BUB1-related protein kinase) (hBUBR1) (Mitotic checkpoint kinase MAD3L) (Protein SSK1),BUB1B BUBR1 MAD3L SSK1,701;,"ENST00000287598.11; ENSP00000287598.7; ENSG00000156970.13. [O60566-1];""ENST00000412359.7; ENSP00000398470.3; ENSG00000156970.13. [O60566-3]"";",ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674],"apoptotic process [GO:0006915]; cell division [GO:0051301]; meiotic sister chromatid cohesion, centromeric [GO:0051754]; metaphase/anaphase transition of mitotic cell cycle [GO:0007091]; mitotic spindle assembly checkpoint signaling [GO:0007094]; protein localization to chromosome, centromeric region [GO:0071459]",anaphase-promoting complex [GO:0005680]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinetochore [GO:0000776]; mitotic checkpoint complex [GO:0033597]; nucleus [GO:0005634]; outer kinetochore [GO:0000940]; perinuclear region of cytoplasm [GO:0048471]; spindle [GO:0005819]
Q7Z3E2,C5,1.404974584,0.708738064,-0.531416864,-0.446602664,-0.881751765,turquoise3,C10orf118,CC186_HUMAN,Coiled-coil domain-containing protein 186 (CTCL tumor antigen HD-CL-01/L14-2),CCDC186 C10orf118,55088;,"ENST00000369287.8; ENSP00000358293.3; ENSG00000165813.20.;""ENST00000648613.1; ENSP00000498136.1; ENSG00000165813.20."";",small GTPase binding [GO:0031267],insulin secretion involved in cellular response to glucose stimulus [GO:0035773]; response to bacterium [GO:0009617]; vesicle cytoskeletal trafficking [GO:0099518],trans-Golgi network [GO:0005802]
Q96JN0,N3,-1.013678677,-0.969589325,1.125684072,-0.270525989,0.230270213,grey50,C10orf12,LCOR_HUMAN,Ligand-dependent corepressor (LCoR) (Mblk1-related protein 2),LCOR C10orf12 KIAA1795 MLR2,84458;,"ENST00000356016.7; ENSP00000348298.2; ENSG00000196233.14. [Q96JN0-1];""ENST00000371097.8; ENSP00000360138.3; ENSG00000196233.14. [Q96JN0-1]"";""ENST00000371103.8; ENSP00000360144.3; ENSG00000196233.14. [Q96JN0-1]"";""ENST00000421806.4; ENSP00000490116.2; ENSG00000196233.14. [Q96JN0-3]"";""ENST00000540664.6; ENSP00000443431.1; ENSG00000196233.14. [Q96JN0-2]"";""ENST00000675471.1; ENSP00000502633.1; ENSG00000196233.14. [Q96JN0-1]"";""ENST00000675537.1; ENSP00000501560.1; ENSG00000196233.14. [Q96JN0-1]"";""ENST00000675971.1; ENSP00000501639.1; ENSG00000196233.14. [Q96JN0-1]"";",DNA binding [GO:0003677]; histone deacetylase binding [GO:0042826]; histone methyltransferase binding [GO:1990226]; nuclear estrogen receptor binding [GO:0030331]; transcription corepressor activity [GO:0003714]; transcription corepressor binding [GO:0001222]; ubiquitin-specific protease binding [GO:1990381],cellular response to estradiol stimulus [GO:0071392]; negative regulation of transcription by RNA polymerase II [GO:0000122]; regulation of transcription by RNA polymerase II [GO:0006357],nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q96D05,S3,-0.618310359,-0.802519744,0.296364494,0.503573725,0.686668769,salmon,C10orf35,F241B_HUMAN,Protein FAM241B,FAM241B C10orf35,219738;,ENST00000373279.6; ENSP00000362376.4; ENSG00000171224.9. [Q96D05-1];,0,0,intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]
Q9H8K7,C2,0.929299342,0.164058443,-0.15261276,0.044575305,-0.096226536,aquamarine,C10orf88,PAAT_HUMAN,ATPase PAAT (EC 3.6.1.-) (Protein associated with ABC transporters) (PAAT),PAAT C10orf88,80007;,ENST00000481909.2; ENSP00000419126.1; ENSG00000119965.13.;,ATP hydrolysis activity [GO:0016887]; identical protein binding [GO:0042802],0,cytoplasm [GO:0005737]; mitochondrion [GO:0005739]
Q9H3H3,C5,1.904853196,0.379128991,-0.891180232,-1.129151488,-1.138729811,turquoise3,C11orf68,CK068_HUMAN,UPF0696 protein C11orf68 (Basophilic leukemia-expressed protein Bles03) (Protein p5326),C11orf68 BLES03,83638;,"ENST00000438576.3; ENSP00000398350.2; ENSG00000175573.7. [Q9H3H3-3];""ENST00000449692.3; ENSP00000409681.3; ENSG00000175573.7. [Q9H3H3-2]"";""ENST00000530188.1; ENSP00000433914.1; ENSG00000175573.7. [Q9H3H3-1]"";",RNA binding [GO:0003723],0,0
Q6UW78,M2,-0.731719952,-1.053381354,0.314045411,1.018277727,0.082979885,tan4,C11orf83,UQCC3_HUMAN,Ubiquinol-cytochrome-c reductase complex assembly factor 3 (Assembly factor CBP4 homolog),UQCC3 C11orf83 UNQ655/PRO1286,790955;,"ENST00000377953.4; ENSP00000367189.3; ENSG00000204922.5.;""ENST00000531323.1; ENSP00000432692.1; ENSG00000204922.5."";",cardiolipin binding [GO:1901612]; phosphatidic acid binding [GO:0070300],"ATP biosynthetic process [GO:0006754]; cristae formation [GO:0042407]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]; mitochondrial respiratory chain complex III assembly [GO:0034551]",cytosol [GO:0005829]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]
Q9HB07,C5,1.530594811,0.816372966,-0.781071735,-0.941671151,-1.368756232,turquoise3,C12orf10,MYG1_HUMAN,MYG1 exonuclease (EC 3.1.-.-),MYG1 C12orf10,60314;,"ENST00000267103.10; ENSP00000267103.5; ENSG00000139637.14.;""ENST00000708949.1; ENSP00000517432.1; ENSG00000291835.1."";",nuclease activity [GO:0004518],locomotory exploration behavior [GO:0035641],cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q8WUH6,C3,2.184185298,-0.339229351,-0.77367669,-0.363553734,-1.157181142,cyan,C12orf23,TM263_HUMAN,Transmembrane protein 263,TMEM263 C12orf23,90488;,"ENST00000280756.9; ENSP00000280756.4; ENSG00000151135.10.;""ENST00000547081.1; ENSP00000449106.1; ENSG00000151135.10."";""ENST00000547242.5; ENSP00000446537.1; ENSG00000151135.10."";""ENST00000548125.5; ENSP00000449785.1; ENSG00000151135.10."";""ENST00000550344.5; ENSP00000446717.1; ENSG00000151135.10."";""ENST00000551813.1; ENSP00000450350.1; ENSG00000151135.10."";",0,0,membrane [GO:0016020]
Q8N999,C4,2.065414056,0.356196067,-1.021600423,-1.049165905,-1.360962281,deepskyblue2,C12orf29,RLIG1_HUMAN,RNA ligase 1 (EC 6.5.1.3) (RNA ligase) (Rnl),RLIG1 C12orf29,91298;,"ENST00000356891.4; ENSP00000349358.3; ENSG00000133641.18. [Q8N999-1];""ENST00000453037.7; ENSP00000402018.2; ENSG00000133641.18. [Q8N999-2]"";""ENST00000550333.5; ENSP00000448194.1; ENSG00000133641.18. [Q8N999-2]"";""ENST00000552121.5; ENSP00000447327.1; ENSG00000133641.18. [Q8N999-2]"";",ATP binding [GO:0005524]; RNA ligase (ATP) activity [GO:0003972],hematopoietic progenitor cell differentiation [GO:0002244]; protein adenylylation [GO:0018117]; response to reactive oxygen species [GO:0000302]; RNA repair [GO:0042245],0
Q9NQ89,C2,1.367524153,0.319942112,-0.400926205,-0.271351349,-0.421395582,aquamarine,C12orf4,FERY3_HUMAN,Ferry endosomal RAB5 effector complex subunit 3 (Fy-3),FERRY3 C12orf4,57102;,"ENST00000261250.8; ENSP00000261250.3; ENSG00000047621.12.;""ENST00000545746.5; ENSP00000439996.1; ENSG00000047621.12."";",0,regulation of mast cell degranulation [GO:0043304],cytoplasm [GO:0005737]; early endosome [GO:0005769]; protein-containing complex [GO:0032991]
Q96C57,N4,-1.066850109,0.976279023,0.393934148,-0.395459312,-0.308918968,grey30,C12orf43,CSTOS_HUMAN,Protein CUSTOS,CUSTOS C12orf43,64897;,ENST00000288757.7; ENSP00000288757.5; ENSG00000157895.11.;,0,negative regulation of Wnt signaling pathway [GO:0030178]; Spemann organizer formation [GO:0060061]; Wnt signaling pathway [GO:0016055],nuclear envelope [GO:0005635]
Q9BSB4,C1,1.664906238,0.375434784,-0.453173618,-0.340579483,-0.678733404,lightblue,C12orf44,ATGA1_HUMAN,Autophagy-related protein 101,ATG101 C12orf44 PP894,60673;,ENST00000336854.9; ENSP00000338990.4; ENSG00000123395.15.;,identical protein binding [GO:0042802]; protein kinase binding [GO:0019901]; protein-containing complex binding [GO:0044877],autophagosome assembly [GO:0000045]; negative regulation of cell population proliferation [GO:0008285]; positive regulation of autophagy [GO:0010508]; regulation of protein lipidation [GO:1903059],Atg1/ULK1 kinase complex [GO:1990316]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; phagophore assembly site [GO:0000407]
Q9H741,S3,-0.466504565,-0.773705738,0.004400899,0.775803699,0.741215364,salmon,C12orf49,SPRNG_HUMAN,SREBP regulating gene protein (SREBF pathway regulator in Golgi 1),SPRING1 C12orf49 SPRING,79794;,ENST00000261318.5; ENSP00000261318.3; ENSG00000111412.6.;,0,positive regulation of SREBP signaling pathway [GO:2000640],Golgi membrane [GO:0000139]
Q9NQ88,C4,2.094009296,0.243928132,-1.143389997,-1.171329879,-1.381565478,deepskyblue2,C12orf5,TIGAR_HUMAN,"Fructose-2,6-bisphosphatase TIGAR (EC 3.1.3.46) (TP53-induced glycolysis and apoptosis regulator) (TP53-induced glycolysis regulatory phosphatase)",TIGAR C12orf5,57103;,ENST00000179259.6; ENSP00000179259.4; ENSG00000078237.7.;,"fructose-2,6-bisphosphate 2-phosphatase activity [GO:0004331]","cardiac muscle cell apoptotic process [GO:0010659]; cellular response to cobalt ion [GO:0071279]; cellular response to hypoxia [GO:0071456]; DNA damage response [GO:0006974]; fructose 2,6-bisphosphate metabolic process [GO:0006003]; glucose catabolic process to lactate via pyruvate [GO:0019661]; glycolytic process [GO:0006096]; intestinal epithelial cell development [GO:0060576]; mitophagy [GO:0000423]; negative regulation of glucose catabolic process to lactate via pyruvate [GO:1904024]; negative regulation of glycolytic process [GO:0045820]; negative regulation of mitophagy [GO:1901525]; negative regulation of programmed cell death [GO:0043069]; negative regulation of reactive oxygen species metabolic process [GO:2000378]; positive regulation of cardiac muscle cell apoptotic process [GO:0010666]; positive regulation of DNA repair [GO:0045739]; positive regulation of hexokinase activity [GO:1903301]; positive regulation of pentose-phosphate shunt [GO:1905857]; reactive oxygen species metabolic process [GO:0072593]; regulation of pentose-phosphate shunt [GO:0043456]; regulation of response to DNA damage checkpoint signaling [GO:1902153]; response to gamma radiation [GO:0010332]; response to ischemia [GO:0002931]; response to xenobiotic stimulus [GO:0009410]",cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrial outer membrane [GO:0005741]; nucleus [GO:0005634]
Q99622,C5,1.464515792,0.526889556,-0.565639802,-0.651629737,-0.95978283,turquoise3,C12orf57,C10_HUMAN,Protein C10,C12orf57 C10,113246;,"ENST00000229281.6; ENSP00000229281.5; ENSG00000111678.11.;""ENST00000545581.5; ENSP00000440602.1; ENSG00000111678.11."";",0,camera-type eye morphogenesis [GO:0048593]; cognition [GO:0050890]; corpus callosum morphogenesis [GO:0021540]; post-embryonic development [GO:0009791]; psychomotor behavior [GO:0036343]; regulation of skeletal muscle contraction [GO:0014819]; third ventricle development [GO:0021678],cytoplasm [GO:0005737]; nuclear speck [GO:0016607]
Q69YU5,M2,-1.466822759,-1.291712932,0.384407006,1.156257384,-0.051223555,tan4,C12orf73,UQCC6_HUMAN,Ubiquinol-cytochrome c reductase complex assembly factor 6 (Protein BRAWNIN),UQCC6 BR BRAWNIN C12orf73,728568;,"ENST00000378090.9; ENSP00000367330.4; ENSG00000204954.10.;""ENST00000547945.5; ENSP00000449839.1; ENSG00000204954.10."";""ENST00000549478.1; ENSP00000448771.1; ENSG00000204954.10."";""ENST00000553183.5; ENSP00000446981.1; ENSG00000204954.10."";",0,mitochondrial cytochrome c oxidase assembly [GO:0033617]; mitochondrial respiratory chain complex III assembly [GO:0034551],mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
Q9NWQ9,C4,2.093827561,0.226362228,-0.883346709,-0.8845356,-1.290037861,deepskyblue2,C14orf119,CN119_HUMAN,Uncharacterized protein C14orf119,C14orf119 My028,55017;,"ENST00000319074.6; ENSP00000322238.4; ENSG00000179933.6.;""ENST00000554203.1; ENSP00000450861.1; ENSG00000179933.6."";",0,0,cytosol [GO:0005829]; mitochondrion [GO:0005739]
Q9BXV9,C5,1.479261872,0.924438683,-0.919293452,-0.929288659,-1.274866602,turquoise3,C14orf142,GON7_HUMAN,EKC/KEOPS complex subunit GON7,GON7 C14orf142,84520;,"ENST00000306954.5; ENSP00000306320.4; ENSG00000170270.5.;""ENST00000621279.2; ENSP00000478863.1; ENSG00000275619.2."";",0,tRNA threonylcarbamoyladenosine modification [GO:0002949],cytosol [GO:0005829]; EKC/KEOPS complex [GO:0000408]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q96S19,C4,2.120981959,-0.047513154,-0.768454943,-0.971425277,-1.12274932,deepskyblue2,C16orf13,MTL26_HUMAN,Methyltransferase-like 26,METTL26 JFP2 C16orf13,84326;,"ENST00000301686.13; ENSP00000445926.2; ENSG00000130731.16. [Q96S19-1];""ENST00000338401.8; ENSP00000444140.2; ENSG00000130731.16. [Q96S19-3]"";""ENST00000397664.8; ENSP00000440475.2; ENSG00000130731.16. [Q96S19-5]"";""ENST00000397665.6; ENSP00000444460.2; ENSG00000130731.16. [Q96S19-6]"";""ENST00000397666.6; ENSP00000440765.2; ENSG00000130731.16. [Q96S19-4]"";",0,0,0
Q96GQ5,S3,-0.705076539,-0.933564575,0.266526606,0.692485226,0.545929108,salmon,C16orf58,RUSF1_HUMAN,RUS family member 1,RUSF1 C16orf58,64755;,ENST00000327237.7; ENSP00000317579.2; ENSG00000140688.18. [Q96GQ5-1];,0,0,membrane [GO:0016020]
Q9BSU1,C4,2.086858539,-0.090667917,-0.842929952,-0.729217284,-1.110960829,deepskyblue2,C16orf70,PHAF1_HUMAN,Phagosome assembly factor 1,PHAF1 C16orf6 C16orf70,80262;,"ENST00000219139.8; ENSP00000219139.3; ENSG00000125149.12. [Q9BSU1-1];""ENST00000569600.5; ENSP00000455182.1; ENSG00000125149.12. [Q9BSU1-1]"";",0,Golgi to plasma membrane protein transport [GO:0043001],dendrite [GO:0030425]; phagophore assembly site [GO:0000407]; synaptic vesicle membrane [GO:0030672]; trans-Golgi network [GO:0005802]
Q96GS4,S1,-0.685268559,-0.621504185,-0.455393704,0.536208076,1.034990824,gold,C17orf59,BORC6_HUMAN,BLOC-1-related complex subunit 6 (Lysosome-dispersing protein) (Lyspersin),BORCS6 C17orf59,54785;,ENST00000389017.6; ENSP00000373669.4; ENSG00000196544.8.;,identical protein binding [GO:0042802],lysosome localization [GO:0032418]; organelle transport along microtubule [GO:0072384]; regulation of endosome size [GO:0051036]; regulation of lysosome size [GO:0062196],BORC complex [GO:0099078]; cytoplasmic side of lysosomal membrane [GO:0098574]
Q9BQA9,S2,-0.821969701,-1.421608331,0.273539508,0.923751781,0.530484551,orange,C17orf62,CYBC1_HUMAN,Cytochrome b-245 chaperone 1 (Essential for reactive oxygen species protein) (Eros),CYBC1 C17orf62 EROS,79415;,"ENST00000306645.10; ENSP00000307765.5; ENSG00000178927.19. [Q9BQA9-1];""ENST00000434650.6; ENSP00000401626.2; ENSG00000178927.19. [Q9BQA9-2]"";""ENST00000437807.6; ENSP00000388909.2; ENSG00000178927.19. [Q9BQA9-1]"";""ENST00000577436.5; ENSP00000464633.1; ENSG00000178927.19. [Q9BQA9-2]"";""ENST00000577696.6; ENSP00000463215.2; ENSG00000178927.19. [Q9BQA9-1]"";""ENST00000577732.5; ENSP00000463228.1; ENSG00000178927.19. [Q9BQA9-1]"";""ENST00000578919.6; ENSP00000464080.1; ENSG00000178927.19. [Q9BQA9-1]"";""ENST00000585064.5; ENSP00000463846.1; ENSG00000178927.19. [Q9BQA9-1]"";""ENST00000585080.5; ENSP00000462529.1; ENSG00000178927.19. [Q9BQA9-1]"";""ENST00000585115.2; ENSP00000513957.1; ENSG00000178927.19. [Q9BQA9-2]"";""ENST00000698819.1; ENSP00000513955.1; ENSG00000178927.19. [Q9BQA9-1]"";""ENST00000698820.1; ENSP00000513956.1; ENSG00000178927.19. [Q9BQA9-2]"";",0,innate immune response [GO:0045087]; respiratory burst after phagocytosis [GO:0045728],endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]
Q9BSJ5,M2,-0.743805992,-0.750956479,0.318331804,1.038164631,-0.184260992,tan4,C17orf80,CQ080_HUMAN,Mitochondrial nucleoid-associated protein 1 (Cell migration-inducing gene 3 protein) (Human lung cancer oncogene 8 protein) (HLC-8) (Protein C17orf80),MTNAP1 C17orf80 HLC8 MIG3,55028;,"ENST00000268942.12; ENSP00000268942.8; ENSG00000141219.16. [Q9BSJ5-2];""ENST00000359042.6; ENSP00000351937.2; ENSG00000141219.16. [Q9BSJ5-1]"";""ENST00000426147.6; ENSP00000396970.2; ENSG00000141219.16. [Q9BSJ5-3]"";""ENST00000535032.7; ENSP00000440551.2; ENSG00000141219.16. [Q9BSJ5-1]"";""ENST00000577615.5; ENSP00000464132.1; ENSG00000141219.16. [Q9BSJ5-2]"";",0,0,extracellular exosome [GO:0070062]; mitochondrial inner membrane [GO:0005743]; mitochondrial nucleoid [GO:0042645]
Q53F19,N3,-0.906490549,-0.469344542,0.957912603,-0.087664856,0.439239519,grey50,C17orf85,NCBP3_HUMAN,Nuclear cap-binding protein subunit 3 (Protein ELG),NCBP3 C17orf85,55421;,ENST00000389005.6; ENSP00000373657.4; ENSG00000074356.17. [Q53F19-1];,mRNA binding [GO:0003729]; RNA 7-methylguanosine cap binding [GO:0000340]; RNA binding [GO:0003723]; RNA cap binding [GO:0000339],7-methylguanosine mRNA capping [GO:0006370]; defense response to virus [GO:0051607]; mRNA export from nucleus [GO:0006406]; mRNA transcription by RNA polymerase II [GO:0042789]; regulatory ncRNA-mediated post-transcriptional gene silencing [GO:0035194]; snRNA export from nucleus [GO:0006408],cytoplasm [GO:0005737]; nuclear cap binding complex [GO:0005846]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; RNA cap binding complex [GO:0034518]
Q32NC0,N3,-1.235466217,-1.055676546,0.596565714,-0.140435096,1.098208439,grey50,C18orf21,CR021_HUMAN,UPF0711 protein C18orf21 (HBV X-transactivated gene 13 protein) (HBV XAg-transactivated protein 13),C18orf21 XTP13 PNAS-124 PNAS-131,83608;,"ENST00000333234.5; ENSP00000329492.5; ENSG00000141428.17. [Q32NC0-2];""ENST00000592875.6; ENSP00000465517.1; ENSG00000141428.17. [Q32NC0-1]"";""ENST00000610527.4; ENSP00000480486.1; ENSG00000141428.17. [Q32NC0-2]"";",0,0,0
Q96B23,N4,0.316204761,1.510012136,-0.684810964,-0.948118899,-1.36920573,grey30,C18orf25,ARK2N_HUMAN,Protein ARK2N (ARKadia-like protein 1) (Arkadia (RNF111) N-terminal like PKA signaling regulator protein 2N),ARK2N ARKL1 C18orf25,147339;,"ENST00000615052.5; ENSP00000481626.1; ENSG00000152242.11. [Q96B23-1];""ENST00000619301.4; ENSP00000480074.1; ENSG00000152242.11. [Q96B23-2]"";",transcription corepressor activity [GO:0003714]; ubiquitin protein ligase activity [GO:0061630],negative regulation of viral life cycle [GO:1903901]; ubiquitin-dependent protein catabolic process [GO:0006511],chromatin [GO:0000785]; nucleus [GO:0005634]
Q8TCD1,S2,-2.177756188,-1.900276471,0.229787976,0.903423352,0.59888833,orange,C18orf32,CR032_HUMAN,UPF0729 protein C18orf32 (Putative NF-kappa-B-activating protein 200),C18orf32,497661;,"ENST00000318240.8; ENSP00000323199.3; ENSG00000177576.12.;""ENST00000582392.2; ENSP00000462538.1; ENSG00000177576.12."";""ENST00000613385.4; ENSP00000480941.1; ENSG00000177576.12."";",0,positive regulation of canonical NF-kappaB signal transduction [GO:0043123],endoplasmic reticulum [GO:0005783]; lipid droplet [GO:0005811]
Q9BSF4,M2,-0.455723758,-0.992757201,0.306194191,0.869928464,-0.177660589,tan4,C19orf52,TIM29_HUMAN,Mitochondrial import inner membrane translocase subunit Tim29 (TIM29),TIMM29 c19orf52,90580;,ENST00000270502.7; ENSP00000270502.5; ENSG00000142444.7.;,protein transporter activity [GO:0140318],protein insertion into mitochondrial inner membrane [GO:0045039],mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; TIM22 mitochondrial import inner membrane insertion complex [GO:0042721]
Q5XKP0,M2,-1.674506657,-1.70647014,0.462880337,1.212370652,-0.295078134,tan4,C19orf70,MIC13_HUMAN,MICOS complex subunit MIC13 (Protein P117),MICOS13 C19orf70 MIC13 QIL1,125988;,ENST00000309324.9; ENSP00000309561.3; ENSG00000174917.9.;,0,cristae formation [GO:0042407]; inner mitochondrial membrane organization [GO:0007007],MIB complex [GO:0140275]; MICOS complex [GO:0061617]; mitochondrial crista junction [GO:0044284]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; SAM complex [GO:0001401]
Q9NS00,S1,-1.140966005,-1.361936627,-0.292369278,0.74414665,1.010005412,gold,C1GALT1,C1GLT_HUMAN,"Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1 (EC 2.4.1.122) (B3Gal-T8) (Core 1 O-glycan T-synthase) (Core 1 UDP-galactose:N-acetylgalactosamine-alpha-R beta 1,3-galactosyltransferase 1) (Beta-1,3-galactosyltransferase) (Core 1 beta1,3-galactosyltransferase 1) (C1GalT1) (Core 1 beta3-Gal-T1)",C1GALT1,56913;,"ENST00000223122.4; ENSP00000223122.2; ENSG00000106392.11. [Q9NS00-1];""ENST00000402468.3; ENSP00000384550.3; ENSG00000106392.11. [Q9NS00-2]"";""ENST00000436587.7; ENSP00000389176.2; ENSG00000106392.11. [Q9NS00-1]"";",glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase activity [GO:0016263]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166],angiogenesis [GO:0001525]; intestinal epithelial cell development [GO:0060576]; kidney development [GO:0001822]; protein O-linked glycosylation [GO:0006493],Golgi membrane [GO:0000139]; membrane [GO:0016020]
