From	Entry	Reviewed	Entry Name	Protein names	Gene Names	GeneID	Ensembl	Gene Ontology (molecular function)	Gene Ontology (biological process)	Gene Ontology (cellular component)
O14818	O14818	reviewed	PSA7_HUMAN	Proteasome subunit alpha type-7 (Proteasome subunit RC6-1) (Proteasome subunit XAPC7)	PSMA7 HSPC	5688;	ENST00000370858.3 [O14818-4];ENST00000370861.1 [O14818-2];ENST00000370873.9 [O14818-1];	identical protein binding [GO:0042802]	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; postsynapse [GO:0098794]; proteasome complex [GO:0000502]; proteasome core complex [GO:0005839]; proteasome core complex, alpha-subunit complex [GO:0019773]
O14979	O14979	reviewed	HNRDL_HUMAN	Heterogeneous nuclear ribonucleoprotein D-like (hnRNP D-like) (hnRNP DL) (AU-rich element RNA-binding factor) (JKT41-binding protein) (Protein laAUF1)	HNRNPDL HNRPDL JKTBP	9987;	ENST00000295470.10 [O14979-1];ENST00000349655.8 [O14979-2];ENST00000502762.4 [O14979-1];ENST00000507721.5 [O14979-2];ENST00000602300.5 [O14979-2];ENST00000621267.4 [O14979-1];ENST00000630114.2 [O14979-2];ENST00000630827.1 [O14979-2];	DNA binding [GO:0003677]; double-stranded DNA binding [GO:0003690]; poly(A) binding [GO:0008143]; poly(G) binding [GO:0034046]; RNA binding [GO:0003723]; single-stranded DNA binding [GO:0003697]	regulation of gene expression [GO:0010468]; RNA processing [GO:0006396]	chromatin [GO:0000785]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]
O14980	O14980	reviewed	XPO1_HUMAN	Exportin-1 (Exp1) (Chromosome region maintenance 1 protein homolog)	XPO1 CRM1	7514;	ENST00000401558.7;ENST00000404992.6;ENST00000406957.5;ENST00000676553.1;ENST00000676667.1;ENST00000677150.1;ENST00000677239.1;ENST00000677417.1;ENST00000677813.1;ENST00000677814.1;ENST00000677928.1;ENST00000677933.1;ENST00000678182.1;ENST00000678790.1;	nuclear export signal receptor activity [GO:0005049]; RNA binding [GO:0003723]; small GTPase binding [GO:0031267]	mRNA export from nucleus [GO:0006406]; nucleocytoplasmic transport [GO:0006913]; protein export from nucleus [GO:0006611]; protein localization to nucleus [GO:0034504]; regulation of centrosome duplication [GO:0010824]; regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032434]; regulation of protein export from nucleus [GO:0046825]; ribosomal large subunit export from nucleus [GO:0000055]; ribosomal small subunit export from nucleus [GO:0000056]; ribosomal subunit export from nucleus [GO:0000054]; ribosome biogenesis [GO:0042254]	annulate lamellae [GO:0005642]; Cajal body [GO:0015030]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; kinetochore [GO:0000776]; membrane [GO:0016020]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; ribonucleoprotein complex [GO:1990904]
O15143	O15143	reviewed	ARC1B_HUMAN	Actin-related protein 2/3 complex subunit 1B (Arp2/3 complex 41 kDa subunit) (p41-ARC)	ARPC1B ARC41	10095;	ENST00000414376.6;ENST00000427217.6;ENST00000431816.6;ENST00000451682.5;ENST00000455009.6;ENST00000458033.6;ENST00000645391.1;ENST00000646101.2;	actin binding [GO:0003779]; protein-containing complex binding [GO:0044877]; structural constituent of cytoskeleton [GO:0005200]	Arp2/3 complex-mediated actin nucleation [GO:0034314]; response to estradiol [GO:0032355]; response to estrogen [GO:0043627]	actin cytoskeleton [GO:0015629]; Arp2/3 protein complex [GO:0005885]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; nucleus [GO:0005634]; tubulobulbar complex [GO:0036284]
O15144	O15144	reviewed	ARPC2_HUMAN	Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC)	ARPC2 ARC34 PRO2446	10109;	ENST00000295685.14;ENST00000315717.10;	actin binding [GO:0003779]; structural constituent of cytoskeleton [GO:0005200]	actin filament polymerization [GO:0030041]; actin polymerization-dependent cell motility [GO:0070358]; Arp2/3 complex-mediated actin nucleation [GO:0034314]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of lamellipodium assembly [GO:0010592]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]	actin cytoskeleton [GO:0015629]; Arp2/3 protein complex [GO:0005885]; cytosol [GO:0005829]; endosome [GO:0005768]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; glutamatergic synapse [GO:0098978]; lamellipodium [GO:0030027]; muscle cell projection membrane [GO:0036195]; neuron projection [GO:0043005]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; site of double-strand break [GO:0035861]
O15145	O15145	reviewed	ARPC3_HUMAN	Actin-related protein 2/3 complex subunit 3 (Arp2/3 complex 21 kDa subunit) (p21-ARC)	ARPC3 ARC21	10094;	ENST00000228825.12;	actin binding [GO:0003779]; structural constituent of cytoskeleton [GO:0005200]	actin polymerization-dependent cell motility [GO:0070358]; Arp2/3 complex-mediated actin nucleation [GO:0034314]; cellular response to nerve growth factor stimulus [GO:1990090]; regulation of actin filament polymerization [GO:0030833]	actin cytoskeleton [GO:0015629]; Arp2/3 protein complex [GO:0005885]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; filamentous actin [GO:0031941]; focal adhesion [GO:0005925]; growth cone leading edge [GO:0061850]; lamellipodium [GO:0030027]; membrane [GO:0016020]; nucleus [GO:0005634]; site of double-strand break [GO:0035861]
O15160	O15160	reviewed	RPAC1_HUMAN	DNA-directed RNA polymerases I and III subunit RPAC1 (DNA-directed RNA polymerase I subunit C) (RNA polymerases I and III subunit AC1) (AC40) (DNA-directed RNA polymerases I and III 40 kDa polypeptide) (RPA40) (RPA39) (RPC40)	POLR1C POLR1E	9533;	ENST00000304004.7 [O15160-2];ENST00000607635.2 [O15160-2];ENST00000642195.1 [O15160-1];	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; protein dimerization activity [GO:0046983]; RNA polymerase I activity [GO:0001054]; RNA polymerase III activity [GO:0001056]	transcription by RNA polymerase I [GO:0006360]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; fibrillar center [GO:0001650]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA polymerase I complex [GO:0005736]; RNA polymerase III complex [GO:0005666]
O15213	O15213	reviewed	WDR46_HUMAN	WD repeat-containing protein 46 (WD repeat-containing protein BING4)	WDR46 BING4 C6orf11 FP221	9277;	ENST00000374617.9;ENST00000383208.8;ENST00000432609.6;ENST00000432933.6;ENST00000457382.6;	RNA binding [GO:0003723]	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; ribosomal small subunit biogenesis [GO:0042274]	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; small-subunit processome [GO:0032040]
O15226	O15226	reviewed	NKRF_HUMAN	NF-kappa-B-repressing factor (NFkB-repressing factor) (NRF) (Protein ITBA4)	NKRF ITBA4 NRF	55922;	ENST00000304449.8 [O15226-1];ENST00000542113.3 [O15226-2];	ATPase activator activity [GO:0001671]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; RNA binding [GO:0003723]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]	negative regulation of DNA-templated transcription [GO:0045892]; positive regulation of transcription by RNA polymerase II [GO:0045944]	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
O15381	O15381	reviewed	NVL_HUMAN	Nuclear valosin-containing protein-like (NVLp) (Nuclear VCP-like protein)	NVL NVL2	4931;	ENST00000281701.11 [O15381-1];ENST00000340871.8 [O15381-4];ENST00000391875.6 [O15381-2];ENST00000469075.5 [O15381-5];ENST00000469968.5 [O15381-3];ENST00000482491.5 [O15381-4];	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; preribosome binding [GO:1990275]; RNA binding [GO:0003723]	positive regulation of protein binding [GO:0032092]; positive regulation of telomerase activity [GO:0051973]; regulation of protein localization to nucleolus [GO:1904749]; ribosomal large subunit biogenesis [GO:0042273]; ribosome biogenesis [GO:0042254]; rRNA processing [GO:0006364]	membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; telomerase holoenzyme complex [GO:0005697]
O15446	O15446	reviewed	RPA34_HUMAN	DNA-directed RNA polymerase I subunit RPA34 (A34.5) (Antisense to ERCC-1 protein) (ASE-1) (CD3-epsilon-associated protein) (CD3E-associated protein) (DNA-directed RNA polymerase I subunit G) (RNA polymerase I-associated factor PAF49)	POLR1G ASE1 CAST CD3EAP PAF49	10849;	ENST00000309424.8 [O15446-1];ENST00000589804.1 [O15446-2];	RNA binding [GO:0003723]	cell surface receptor protein tyrosine kinase signaling pathway [GO:0007169]; rRNA transcription [GO:0009303]; transcription initiation at RNA polymerase I promoter [GO:0006361]	chromosome [GO:0005694]; cytosol [GO:0005829]; fibrillar center [GO:0001650]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; RNA polymerase I complex [GO:0005736]; RNA polymerase I transcription regulator complex [GO:0000120]
O43143	O43143	reviewed	DHX15_HUMAN	ATP-dependent RNA helicase DHX15 (EC 3.6.4.13) (ATP-dependent RNA helicase #46) (DEAH box protein 15) (Splicing factor Prp43) (hPrp43)	DHX15 DBP1 DDX15	1665;	ENST00000336812.5;	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent activity, acting on RNA [GO:0008186]; double-stranded RNA binding [GO:0003725]; helicase activity [GO:0004386]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]	antiviral innate immune response [GO:0140374]; defense response to bacterium [GO:0042742]; defense response to virus [GO:0051607]; mRNA processing [GO:0006397]; mRNA splicing, via spliceosome [GO:0000398]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; response to alkaloid [GO:0043279]; response to toxic substance [GO:0009636]; RNA splicing [GO:0008380]	nuclear speck [GO:0016607]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; U12-type spliceosomal complex [GO:0005689]
O43159	O43159	reviewed	RRP8_HUMAN	Ribosomal RNA-processing protein 8 (EC 2.1.1.-) (Cerebral protein 1) (Nucleomethylin)	RRP8 KIAA0409 NML hucep-1	23378;	ENST00000254605.11;	methylated histone binding [GO:0035064]; RNA binding [GO:0003723]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]	cellular response to glucose starvation [GO:0042149]; energy homeostasis [GO:0097009]; intrinsic apoptotic signaling pathway by p53 class mediator [GO:0072332]; methylation [GO:0032259]; negative regulation of cell cycle [GO:0045786]; negative regulation of DNA-templated transcription [GO:0045892]; rDNA heterochromatin formation [GO:0000183]; regulation of G1 to G0 transition [GO:1903450]; regulation of transcription by glucose [GO:0046015]; rRNA processing [GO:0006364]	chromatin silencing complex [GO:0005677]; cytosol [GO:0005829]; eNoSc complex [GO:0061773]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; rDNA heterochromatin [GO:0033553]
O43172	O43172	reviewed	PRP4_HUMAN	U4/U6 small nuclear ribonucleoprotein Prp4 (PRP4 homolog) (hPrp4) (U4/U6 snRNP 60 kDa protein) (WD splicing factor Prp4)	PRPF4 PRP4	9128;	ENST00000374198.5 [O43172-2];ENST00000374199.9 [O43172-1];	U4 snRNA binding [GO:0030621]; U6 snRNA binding [GO:0017070]	mRNA splicing, via spliceosome [GO:0000398]; RNA processing [GO:0006396]; RNA splicing [GO:0008380]; RNA splicing, via transesterification reactions [GO:0000375]	Cajal body [GO:0015030]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; spliceosomal snRNP complex [GO:0097525]; U2-type precatalytic spliceosome [GO:0071005]; U4/U6 snRNP [GO:0071001]; U4/U6 x U5 tri-snRNP complex [GO:0046540]
O43390	O43390	reviewed	HNRPR_HUMAN	Heterogeneous nuclear ribonucleoprotein R (hnRNP R)	HNRNPR HNRPR	10236;	ENST00000302271.11 [O43390-1];ENST00000374612.5 [O43390-1];ENST00000374616.7 [O43390-2];ENST00000463552.6 [O43390-3];ENST00000478691.5 [O43390-4];ENST00000634263.1 [O43390-1];ENST00000634634.2 [O43390-3];ENST00000634713.1 [O43390-2];ENST00000634766.2 [O43390-1];ENST00000635150.1 [O43390-4];	mRNA binding [GO:0003729]; RNA binding [GO:0003723]	mRNA processing [GO:0006397]; mRNA splicing, via spliceosome [GO:0000398]	catalytic step 2 spliceosome [GO:0071013]; endoplasmic reticulum [GO:0005783]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; spliceosomal complex [GO:0005681]
O43395	O43395	reviewed	PRPF3_HUMAN	U4/U6 small nuclear ribonucleoprotein Prp3 (Pre-mRNA-splicing factor 3) (hPrp3) (U4/U6 snRNP 90 kDa protein)	PRPF3 HPRP3 PRP3	9129;	ENST00000324862.7 [O43395-1];	identical protein binding [GO:0042802]; RNA binding [GO:0003723]	mRNA processing [GO:0006397]; mRNA splicing, via spliceosome [GO:0000398]; RNA splicing [GO:0008380]; RNA splicing, via transesterification reactions [GO:0000375]; spliceosomal tri-snRNP complex assembly [GO:0000244]	Cajal body [GO:0015030]; cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; U2-type precatalytic spliceosome [GO:0071005]; U4/U6 x U5 tri-snRNP complex [GO:0046540]
O43447	O43447	reviewed	PPIH_HUMAN	Peptidyl-prolyl cis-trans isomerase H (PPIase H) (EC 5.2.1.8) (Rotamase H) (Small nuclear ribonucleoprotein particle-specific cyclophilin H) (CypH) (U-snRNP-associated cyclophilin SnuCyp-20) (USA-CYP)	PPIH CYP20 CYPH	10465;	ENST00000304979.8 [O43447-1];ENST00000372550.6 [O43447-1];ENST00000676675.1 [O43447-1];ENST00000677900.1 [O43447-1];ENST00000678038.1 [O43447-1];ENST00000678333.1 [O43447-1];ENST00000678803.1 [O43447-1];	cyclosporin A binding [GO:0016018]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; ribonucleoprotein complex binding [GO:0043021]	mRNA splicing, via spliceosome [GO:0000398]; positive regulation of viral genome replication [GO:0045070]; protein folding [GO:0006457]; protein peptidyl-prolyl isomerization [GO:0000413]; protein-containing complex assembly [GO:0065003]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; spliceosomal complex [GO:0005681]; U4/U6 snRNP [GO:0071001]; U4/U6 x U5 tri-snRNP complex [GO:0046540]
O43660	O43660	reviewed	PLRG1_HUMAN	Pleiotropic regulator 1	PLRG1	5356;	ENST00000302078.9 [O43660-2];ENST00000499023.7 [O43660-1];		mRNA splicing, via spliceosome [GO:0000398]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; protein localization to nucleus [GO:0034504]	catalytic step 2 spliceosome [GO:0071013]; fibrillar center [GO:0001650]; nuclear membrane [GO:0031965]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Prp19 complex [GO:0000974]; spliceosomal complex [GO:0005681]; U2-type catalytic step 2 spliceosome [GO:0071007]
